Name,CAS Number,SMILES,Formula,Category,Classification 1
docetaxel,114977-28-5,[H][C@@]1(C[C@@]2(O)[C@@H](OC(=O)C3=CC=CC=C3)[C@]3([H])[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(C)=O)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1,C43H53NO14,D,Antineoplastic Agents
dofetilide,115256-11-6,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,C19H27N3O5S2,D,Cardiovascular System
dolasetron,115956-12-2,[H][C@@]1(C[C@@]2([H])C[C@]3([H])C[C@@]([H])(C1)N2CC3=O)OC(=O)C1=CNC2=C1C=CC=C2,C19H20N2O3,B1,Central Nervous System
dolutegravir,1051375-16-6,[H][C@]12CN3C=C(C(=O)NCC4=CC=C(F)C=C4F)C(=O)C(O)=C3C(=O)N1[C@H](C)CCO2,C20H19F2N3O5,B1,Antimicrobials
domperidone,57808-66-9,ClC1=CC2=C(C=C1)N(C1CCN(CCCN3C(=O)NC4=CC=CC=C34)CC1)C(=O)N2,C22H24ClN5O2,B2,Central Nervous System
donepezil,120014-06-4,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,C24H29NO3,B3,Cholinergic and Anticholinergic Agents
dopamine,51-61-6,NCCC1=CC(O)=C(O)C=C1,C8H11NO2,B3,Cardiovascular System
dorzolamide,120279-96-1,CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,C10H16N2O4S3,B3,Ophthalmic Drugs
dosulepin,113-53-1,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12,C19H21NS,C,Central Nervous System
doxazosin,74191-85-8,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1,C23H25N5O5,B3,Cardiovascular System
doxepin,1668-19-5,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12,C19H21NO,C,Central Nervous System
doxorubicin,23214-92-8,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O,C27H29NO11,D,Antineoplastic Agents
doxycycline,564-25-0,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,C22H24N2O8,D,Antimicrobials
doxylamine,469-21-6,CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1,C17H22N2O,A,Allergy and Immune System
dronedarone,141626-36-0,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,C31H44N2O5S,D,Cardiovascular System
droperidol,548-73-2,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12,C22H22FN3O2,C,Central Nervous System
duloxetine,116539-59-4,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1,C18H19NOS,B3,Central Nervous System
dutasteride,164656-23-9,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])NC(=O)C=C[C@]4(C)[C@@]3([H])CC[C@]12C)C(=O)NC1=CC(=CC=C1C(F)(F)F)C(F)(F)F,C27H30F6N2O2,X,Genitourinary System
econazole,27220-47-9,ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,C18H15Cl3N2O,A,Drugs used in Dermatology
econazole,27220-47-9,ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,C18H15Cl3N2O,A,Genitourinary System
edaravone,89-25-8,CC1=NN(C(=O)C1)C1=CC=CC=C1,C10H10N2O,B3,Central Nervous System
efavirenz,154598-52-4,FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,C14H9ClF3NO2,D,Antimicrobials
eflornithine,70052-12-9,NCCCC(N)(C(F)F)C(O)=O,C6H12F2N2O2,B3,Drugs used in Dermatology
eletriptan,143322-58-1,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,C22H26N2O2S,B1,Cardiovascular System
eliglustat,491833-29-5,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)C1=CC=C2OCCOC2=C1,C23H36N2O4,B3,Metabolism
eltrombopag,496775-61-2,CC1=NN(C(=O)\C1=N/NC1=CC=CC(C2=CC=CC(=C2)C(O)=O)=C1O)C1=CC=C(C)C(C)=C1,C25H22N4O4,B3,Blood and Haemopoietic System
elvitegravir,697761-98-1,[H][C@@](CO)(C(C)C)N1C=C(C(O)=O)C(=O)C2=C1C=C(OC)C(CC1=C(F)C(Cl)=CC=C1)=C2,C23H23ClFNO5,B2,Antimicrobials
emetine,483-18-1,[H][C@]1(C[C@@]2([H])C[C@]3([H])N(CCC4=CC(OC)=C(OC)C=C34)C[C@]2([H])CC)NCCC2=CC(OC)=C(OC)C=C12,C29H40N2O4,A,Respiratory System
empagliflozin,864070-44-0,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=CC=C(Cl)C(CC2=CC=C(O[C@H]3CCOC3)C=C2)=C1,C23H27ClO7,D,Endocrine System
emtricitabine,143491-57-0,NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1,C8H10FN3O3S,B1,Antimicrobials
enalapril,75847-73-3,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O,C20H28N2O5,D,Cardiovascular System
enasidenib,1446502-11-9,CC(C)(O)CNC1=NC(=NC(NC2=CC(=NC=C2)C(F)(F)F)=N1)C1=NC(=CC=C1)C(F)(F)F,C19H17F6N7O,D,Antineoplastic Agents
encorafenib,1269440-17-6,COC(=O)N[C@@H](C)CNC1=NC=CC(=N1)C1=CN(N=C1C1=CC(Cl)=CC(NS(C)(=O)=O)=C1F)C(C)C,C22H27ClFN7O4S,D,Antineoplastic Agents
enflurane,13838-16-9,FC(F)OC(F)(F)C(F)Cl,C3H2ClF5O,A,Drugs Used in Anaesthesia
enoxacin,74011-58-8,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1,C15H17FN4O3,B3,Antimicrobials
enoxaparin,9005-49-6,nan,,C,Cardiovascular System
entacapone,130929-57-6,CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N,C14H15N3O5,B3,Central Nervous System
entecavir,142217-69-4,NC1=NC(=O)C2=C(N1)N(C=N2)[C@H]1C[C@H](O)[C@@H](CO)C1=C,C12H15N5O3,B3,Antimicrobials
entrectinib,1108743-60-7,CN1CCN(CC1)C1=CC=C(C(=O)NC2=NNC3=CC=C(CC4=CC(F)=CC(F)=C4)C=C23)C(NC2CCOCC2)=C1,C31H34F2N6O2,D,Antineoplastic Agents
enzalutamide,915087-33-1,CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC=C(C#N)C(=C1)C(F)(F)F,C21H16F4N4O2S,X,Antineoplastic Agents
ephedrine,299-42-3,CN[C@@H](C)[C@H](O)C1=CC=CC=C1,C10H15NO,A,Cardiovascular System
ephedrine,299-42-3,CN[C@@H](C)[C@H](O)C1=CC=CC=C1,C10H15NO,A,Respiratory System
epirubicin,56420-45-2,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O,C27H29NO11,D,Antineoplastic Agents
eplerenone,107724-20-9,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)C[C@H]1O[C@@]11[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)C(=O)OC,C24H30O6,B3,Cardiovascular System
epoprostenol,35121-78-9,[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)CCCCC)[C@@]1([H])C\C(O2)=C\CCCC(O)=O,C20H32O5,B1,Cardiovascular System
eprosartan,133040-01-4,CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O,C23H24N2O4S,D,Cardiovascular System
ergometrine,60-79-7,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](C)CO,C19H23N3O2,C,Genitourinary System
ergotamine,113-15-5,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)C4=C3)O[C@@]21O,C33H35N5O5,C,Cardiovascular System
eribulin,253128-41-5,[H][C@@]12CC(=C)[C@]([H])(CC[C@@]3([H])C[C@@H](C)C(=C)[C@@]([H])(C[C@]4([H])O[C@H](C[C@H](O)CN)[C@H](OC)[C@@]4([H])CC(=O)C[C@@]4([H])CC[C@]5([H])O[C@@]6([H])[C@H]7O[C@@]8(C[C@]7([H])O[C@@]6([H])[C@@]([H])(O8)[C@@]5([H])O4)CC1)O3)O2,C40H59NO11,D,Antineoplastic Agents
erlotinib,183321-74-6,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC(=CC=C1)C#C)=NC=N2,C22H23N3O4,C,Antineoplastic Agents
ertapenem,153832-46-3,[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O,C22H25N3O7S,B3,Antimicrobials
erythromycin,114-07-8,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,C37H67NO13,A,Antimicrobials
escitalopram,128196-01-0,CN(C)CCC[C@]1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,C20H21FN2O,C,Central Nervous System
eslicarbazepine acetate,236395-14-5,CC(=O)O[C@H]1CC2=CC=CC=C2N(C(N)=O)C2=CC=CC=C12,C17H16N2O3,D,Central Nervous System
esmolol,81147-92-4,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,C16H25NO4,C,Cardiovascular System
esomeprazole,119141-88-7,COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1,C17H19N3O3S,B3,Alimentary System
estradiol,50-28-2,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,C18H24O2,B3,Endocrine System
estramustine,2998-57-4,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(OC(=O)N(CCCl)CCCl)C=C3CC[C@@]21[H],C23H31Cl2NO3,D,Antineoplastic Agents
estriol,50-27-1,[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,C18H24O3,B1,Endocrine System
etacrynic acid,58-54-8,CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC(O)=O)C=C1,C13H12Cl2O4,C,Cardiovascular System
ethambutol,74-55-5,CC[C@@H](CO)NCCN[C@@H](CC)CO,C10H24N2O2,A,Antimicrobials
ethinylestradiol,57-63-6,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,C20H24O2,B3,Endocrine System
ethosuximide,77-67-8,CCC1(C)CC(=O)NC1=O,C7H11NO2,D,Central Nervous System
etidocaine,36637-18-0,CCCN(CC)C(CC)C(=O)NC1=C(C)C=CC=C1C,C17H28N2O,B1,Drugs Used in Anaesthesia
etonogestrel,54048-10-1,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],C22H28O2,B3,Contraceptive Agents
etoposide,33419-42-0,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O,C29H32O13,D,Antineoplastic Agents
etoricoxib,202409-33-4,CC1=NC=C(C=C1)C1=C(C=C(Cl)C=N1)C1=CC=C(C=C1)S(C)(=O)=O,C18H15ClN2O2S,C,Musculoskeletal System
etravirine,269055-15-4,CC1=CC(=CC(C)=C1OC1=C(Br)C(N)=NC(NC2=CC=C(C=C2)C#N)=N1)C#N,C20H15BrN6O,B1,Antimicrobials
etretinate,54350-48-0,CCOC(=O)C=C(C)C=CC=C(C)C=CC1=C(C)C(C)=C(OC)C=C1C,C23H30O3,X,Drugs used in Dermatology
everolimus,159351-69-6,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](OCCO)[C@@H](C1)OC,C53H83NO14,C,Allergy and Immune System
exemestane,107868-30-4,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C,C20H24O2,C,Antineoplastic Agents
ezetimibe,163222-33-1,[H][C@]1(CC[C@H](O)C2=CC=C(F)C=C2)C(=O)N(C2=CC=C(F)C=C2)[C@]1([H])C1=CC=C(O)C=C1,C24H21F2NO3,B3,Cardiovascular System
famciclovir,104227-87-4,CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O,C14H19N5O4,B1,Antimicrobials
famotidine,76824-35-6,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,C8H15N7O2S3,B1,Alimentary System
febuxostat,144060-53-7,CC(C)COC1=C(C=C(C=C1)C1=NC(C)=C(S1)C(O)=O)C#N,C16H16N2O3S,B1,Musculoskeletal System
felodipine,72509-76-3,CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC,C18H19Cl2NO4,C,Cardiovascular System
fenfluramine,458-24-2,CCNC(C)CC1=CC=CC(=C1)C(F)(F)F,C12H16F3N,B2,Metabolism
fenofibrate,49562-28-9,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1,C20H21ClO4,B3,Cardiovascular System
fenoterol,13392-18-2,CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1,C17H21NO4,A,Cardiovascular System
fenoterol,13392-18-2,CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1,C17H21NO4,A,Respiratory System
fentanyl,437-38-7,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,C22H28N2O,C,Central Nervous System
ferric carboxymaltose,9007-72-1,nan,,B3,Blood and Haemopoietic System
fexofenadine,83799-24-0,CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,C32H39NO4,B2,Allergy and Immune System
fidaxomicin,873857-62-6,[H][C@@]1(O[C@@H]2[C@@H](CC)\C=C(C)\[C@@H](O)C\C=C\C=C(CO[C@@H]3O[C@H](C)[C@@H](OC(=O)C4=C(CC)C(Cl)=C(O)C(Cl)=C4O)[C@H](O)[C@@H]3OC)\C(=O)O[C@@H](C\C=C(/C)\C=C2/C)[C@@H](C)O)OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]1O,C52H74Cl2O18,B1,Antimicrobials
finasteride,98319-26-7,[H][C@@]12CC[C@H](C(=O)NC(C)(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C,C23H36N2O2,X,Drugs used in Dermatology
finasteride,98319-26-7,[H][C@@]12CC[C@H](C(=O)NC(C)(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C,C23H36N2O2,X,Genitourinary System
finerenone,1050477-31-0,CCOC1=NC=C(C)C2=C1[C@H](C1=CC=C(C=C1OC)C#N)C(C(N)=O)=C(C)N2,C21H22N4O3,D,Metabolism
fingolimod,162359-55-9,CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1,C19H33NO2,D,Allergy and Immune System
flecainide,54143-55-4,FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1,C17H20F6N2O3,B3,Cardiovascular System
fleroxacin,79660-72-3,CN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN(CCF)C2=C1F)C(O)=O,C17H18F3N3O3,B3,Antimicrobials
flucloxacillin,5250-39-5,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1F)C(O)=O,C19H17ClFN3O5S,B1,Antimicrobials
fluconazole,86386-73-4,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,C13H12F2N6O,D,Antimicrobials
flucytosine,2022-85-7,NC1=C(F)C=NC(=O)N1,C4H4FN3O,B3,Antimicrobials
fludarabine,21679-14-1,NC1=NC(F)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,C10H12FN5O4,D,Antineoplastic Agents
flumazenil,78755-81-4,CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC(F)=C3)N2C=N1,C15H14FN3O3,B3,"Detoxifying Agents, Antidotes "
flunisolide,03-03-3385,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,C24H31FO6,B3,Endocrine System
flunitrazepam,1622-62-4,CN1C2=C(C=C(C=C2)[N+]([O-])=O)C(=NCC1=O)C1=CC=CC=C1F,C16H12FN3O3,C,Central Nervous System
fluocinolone,807-38-5,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](C[C@H](F)C4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,C21H26F2O6,A,Endocrine System
fluocortolone,152-97-6,[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,C22H29FO4,A,Endocrine System
fluorometholone,426-13-1,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,C22H29FO4,B3,Ophthalmic Drugs
fluorouracil,51-21-8,FC1=CNC(=O)NC1=O,C4H3FN2O2,D,Antineoplastic Agents
fluoxetine,54910-89-3,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,C17H18F3NO,C,Central Nervous System
fluoxymesterone,76-43-7,[H][C@@]12CC[C@](C)(O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,C20H29FO3,D,Endocrine System
fluphenazine,69-23-8,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,C22H26F3N3OS,C,Central Nervous System
flurazepam,17617-23-1,CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F,C21H23ClFN3O,C,Central Nervous System
flurbiprofen,5104-49-4,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1,C15H13FO2,C,Ophthalmic Drugs
fluticasone furoate,397864-44-7,[H][C@@]12C[C@@H](C)[C@](OC(=O)C3=CC=CO3)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,C27H29F3O6S,B3,Endocrine System
fluticasone propionate,80474-14-2,[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,C25H31F3O5S,B3,Respiratory System
fluvastatin,93957-54-1,CC(C)N1C(\C=C\C(O)CC(O)CC(O)=O)=C(C2=CC=CC=C12)C1=CC=C(F)C=C1,C24H26FNO4,D,Cardiovascular System
fluvoxamine,54739-18-3,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,C15H21F3N2O2,C,Central Nervous System
folic acid,59-30-3,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,C19H19N7O6,A,Blood and Haemopoietic System
fomepizole,7554-65-6,CC1=CNN=C1,C4H6N2,B2,"Detoxifying Agents, Antidotes"
fondaparinux,104993-28-4,CO[C@H]1O[C@H](COS(O)(=O)=O)[C@@H](O[C@@H]2O[C@H]([C@@H](O[C@H]3O[C@H](COS(O)(=O)=O)[C@@H](O[C@@H]4O[C@@H]([C@@H](O[C@H]5O[C@H](COS(O)(=O)=O)[C@@H](O)[C@H](O)[C@H]5NS(O)(=O)=O)[C@H](O)[C@H]4O)C(O)=O)[C@H](OS(O)(=O)=O)[C@H]3NS(O)(=O)=O)[C@H](O)[C@H]2OS(O)(=O)=O)C(O)=O)[C@H](O)[C@H]1NS(O)(=O)=O,C31H53N3O49S8,C,Cardiovascular System
formoterol,73573-87-2,COC1=CC=C(CC(C)NCC(O)C2=CC(NC=O)=C(O)C=C2)C=C1,C19H24N2O4,B3,Respiratory System
fosamprenavir,226700-79-4,CC(C)CN(C[C@@H](OP(O)(O)=O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,C25H36N3O9PS,B3,Antimicrobials
fosaprepitant,172673-20-0,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N(N2)P(O)(O)=O)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,C23H22F7N4O6P,B2,Antineoplastic Agents
foscarnet,4428-95-9,OC(=O)P(O)(O)=O,CH3O5P,B3,Antimicrobials
fosinopril,98048-97-6,CCC(=O)O[C@@H](OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C,C30H46NO7P,D,Cardiovascular System
fostemsavir,864953-29-7,COC1=CN=C(N2C=NC(C)=N2)C2=C1C(=CN2COP(O)(O)=O)C(=O)C(=O)N1CCN(CC1)C(=O)C1=CC=CC=C1,C25H26N7O8P,B3,Antimicrobials
fotemustine,92118-27-9,CCOP(=O)(OCC)[C@@H](C)NC(=O)N(CCCl)N=O,C9H19ClN3O5P,D,Antineoplastic Agents
framycetin,119-04-0,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,C23H46N6O13,D,Antimicrobials
fulvestrant,129453-61-8,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H],C32H47F5O3S,D,Antineoplastic Agents
furosemide,54-31-9,NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O,C12H11ClN2O5S,C,Cardiovascular System
fusidic acid,03-06-6990,[H][C@@]12C[C@@H](O)[C@@]3([H])[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@]4([H])CC[C@]3(C)[C@@]1(C)C[C@H](OC(C)=O)\C2=C(\CCC=C(C)C)C(O)=O,C31H48O6,C,Antimicrobials
gabapentin,60142-96-3,NCC1(CC(O)=O)CCCCC1,C9H17NO2,B3,Central Nervous System
gadobutrol,770691-21-9,OC[C@H](O)[C@H](CO)[N+]12CC[N+]3(CC([O-])=O)CC[N+]4(CC([O-])=O)CC[N+](CC([O-])=O)(CC1)[Gd-]234,C18H31GdN4O9,B3,Diagnostic Agents
galantamine,357-70-0,[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3,C17H21NO3,B1,Cholinergic and Anticholinergic Agents
gallamine,153-76-4,CCN(CC)CCOC1=CC=CC(OCCN(CC)CC)=C1OCCN(CC)CC,C24H45N3O3,C,Drugs Used in Anaesthesia
ganciclovir,82410-32-0,NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1,C9H13N5O4,D,Antimicrobials
ganirelix,124904-93-4,CCNC(NCC)=NCCCC[C@@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CC=CN=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN=C(NCC)NCC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,C80H113ClN18O13,D,Endocrine System
gatifloxacin,112811-59-3,COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(F)=C1N1CCNC(C)C1)C1CC1,C19H22FN3O4,B3,Antimicrobials
gefitinib,184475-35-2,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,C22H24ClFN4O3,C,Antineoplastic Agents
gemcitabine,95058-81-4,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,C9H11F2N3O4,D,Antineoplastic Agents
gemeprost,64318-79-2,CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(=O)OC,C23H38O5,B3,Genitourinary System
gemfibrozil,25812-30-0,CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1,C15H22O3,B3,Cardiovascular System
gestrinone,16320-04-0,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)C=CC1=C3CCC(=O)C=C3CC[C@@]21[H],C21H24O2,D,Endocrine System
gliclazide,21187-98-4,[H][C@@]12CCC[C@]1([H])CN(C2)NC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,C15H21N3O3S,C,Endocrine System
glimepiride,93479-97-1,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,C24H34N4O5S,C,Endocrine System
glipizide,29094-61-9,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,C21H27N5O4S,C,Endocrine System
